path,sentence,up_votes,down_votes,age,gender
common_voice_ur_26562732.mp3,اب نیٹ پہ سن لیتے ہیں۔,2,0,twenties,male
common_voice_ur_26562733.mp3,مزدور طبقے کے علاوہ سرکاری اور کاروباری لوگ نو دس بجے کام شروع کرتے,2,0,twenties,male
common_voice_ur_26562735.mp3,دلچسپ امر یہ ہے۔,2,0,twenties,male
common_voice_ur_26562736.mp3,یہ نہیں کہا جائے گا کہ زید کی طرف سے دی گئی ایک وقت کی تین طلاقیں واقع ہو گئی ہیں,2,0,twenties,male
common_voice_ur_26562738.mp3,وقت پر رقوم کبھی بھی واپس نہ کیں۔,2,0,twenties,male
common_voice_ur_26562740.mp3,مغربی افریقہ,2,0,twenties,male
common_voice_ur_26562741.mp3,جہاں دنیا کا سب سے اونچا,2,0,twenties,male
common_voice_ur_26562742.mp3,ایسا ہو گا۔,2,0,twenties,male
common_voice_ur_26562750.mp3,پھر کیا ہو گا؟,2,0,twenties,male
common_voice_ur_26562751.mp3,گورننس کا سب سے اہم پہلو مو جود نظام کی اصلاح ہے۔,2,0,twenties,male
common_voice_ur_26562752.mp3,حکومت سے بہت خوش نہیں تھے۔,2,0,twenties,male
common_voice_ur_26562753.mp3,اگر ان سے ملاقات ہو تو میری طرف سے سلام عرض کیجیے گا,2,0,twenties,male
common_voice_ur_26562754.mp3,یہی خزاں اور سردیوں کے مہینے ہیں۔,2,0,twenties,male
common_voice_ur_26562760.mp3,کہ ان کے اندر سورج کی روشنی پہنچتی رہے,2,0,twenties,male
common_voice_ur_26562761.mp3,ماحولیاتی آلودگی اور پوری دنیا کے بڑھتے ہوئے درجۂ حرارت,2,0,twenties,male
common_voice_ur_26562762.mp3,عقلمند کو اشارہ ہی کافی,2,0,twenties,male
common_voice_ur_26562763.mp3,عروہ اور فرحان برلن میں کیا کررہے ہیں,2,0,twenties,male
common_voice_ur_26562773.mp3,دو ٹیمیں بنائی گئیں,2,0,twenties,male
common_voice_ur_26562774.mp3,میں نے سوچا مجھے اسے کسی پبلک مقام پر ملنا چاہیے۔,2,0,twenties,male
common_voice_ur_26562775.mp3,نواز شریف سیاست میں کیسے کامیاب ہوئے؟,2,0,twenties,male
common_voice_ur_26562776.mp3,کہ مشروبات ٹھنڈا کرنے کے لئے ریفریجریٹرز کا ماحول دشمن طریقہ ترک کیاجائے۔,2,0,twenties,male
common_voice_ur_26562777.mp3,کیسے آنے والی دہائیوں میں صلیبی,2,0,twenties,male
common_voice_ur_26572621.mp3,وہاں جھڑپیں جاری ہوں,2,0,,
common_voice_ur_26572623.mp3,ائی ایم ایف کا عرب ممالک پر اضافی اخراجات کم کرنے پر زور,2,0,,
common_voice_ur_26572624.mp3,اب سنا ہے۔,2,0,,
common_voice_ur_26572625.mp3,سی پیک تیزی سے عملی صورت اختیار کرچکا ہے سرتاج عزیز,2,0,,
common_voice_ur_26572627.mp3,ہمارا پرابلم کیا ہے؟,2,0,,
common_voice_ur_26573603.mp3,ملکی معیشت کی بدلتی صورتحال اور استحکام کی وجوہات کیا ہیں,2,0,,
common_voice_ur_26573605.mp3,برصغیرکے مسلمانوں میں بھی ایسے لوگ پائے جاتے ہیں۔,2,0,,
common_voice_ur_26573606.mp3,جب جمہوریت کی بات ہوتی ہے۔,2,0,,
common_voice_ur_26574149.mp3,وہ بھی مسلمان ملک ہے۔,2,0,twenties,male
common_voice_ur_26574150.mp3,تو قادری صاحب کے لوگ بھرم رکھنے کے لیے موجود ہیں۔,2,0,twenties,male
common_voice_ur_26574151.mp3,تو ایسی کہانی میں۔,2,0,twenties,male
common_voice_ur_26574152.mp3,اہل خانہ نے ان کی,2,0,twenties,male
common_voice_ur_26574153.mp3,ہم شیشے کی منڈی کو اندر سے دیکھنا چاہتے ہیں نہ کہ باہر سے,2,0,twenties,male
common_voice_ur_26574923.mp3,فنکار اپنا معمول رکھتا ہے,2,0,twenties,male
common_voice_ur_26574926.mp3,دوسروں پر جوابی کروائئ کرتا ہوں,2,0,twenties,male
common_voice_ur_26574929.mp3,کہا جاتا ہے کہ ''ڈان لیکس‘‘ محض ایک راؤنڈ تھا۔,2,0,twenties,male
common_voice_ur_26574930.mp3,جسک باعث اس پھل پھول کا موقعہ,2,0,twenties,male
common_voice_ur_26574931.mp3,نہ صرف یہ کہ جمود ہے۔,2,0,twenties,male
common_voice_ur_26574932.mp3,ہمارے مسائل کیا ہیں؟,2,0,twenties,male
common_voice_ur_26574933.mp3,تو اس میں سعودی عرب کا حصہ ہے۔,2,0,twenties,male
common_voice_ur_26574934.mp3,"دوسرے الفاظ میں، وہ ریاست کے اندر اپنی ایک الگ ریاست بنانے کا اعلان کر رہا ہوتا ہے",2,0,twenties,male
common_voice_ur_26574935.mp3,اس کا مطلب یہ ہے,2,0,twenties,male
common_voice_ur_26574936.mp3,دائرۂ اسلام سے خارج قرار دیا ہے,2,0,twenties,male
common_voice_ur_26574937.mp3,ان میں سب سے اہم وژن اور اس کے بعد قوت نافذہ ہے۔,2,0,twenties,male
common_voice_ur_26574941.mp3,کيميا دان اس دور میں حیران کن چیز تیارکررہے ہیں,2,0,twenties,male
common_voice_ur_26574942.mp3,تاریخ نے جمہوریت کے حق میں اپنا فیصلہ سنا دیا ہے۔,2,0,twenties,male
common_voice_ur_26574944.mp3,اب تک تو ان کے سامنے کوئی نقشہ ہونا چاہئے تھا‘,2,0,twenties,male
common_voice_ur_26574945.mp3,اور جسم بھی تپ رہا ہے۔,2,0,twenties,male
common_voice_ur_26574965.mp3,یہ تو اس خطے میں پہنا جاتا ہے۔,2,0,twenties,male
common_voice_ur_26574967.mp3,گویا آسمان سے آنے والی صدا اسی طرح گونجتی رہے گی۔,2,0,twenties,male
common_voice_ur_26574970.mp3,گویا یہ ان کی فطری کیفیت لگتی تھی۔,2,0,twenties,male
common_voice_ur_26574971.mp3,کیا آج کا ادیب ا ور شاعر اس روایت سے وابستہ ہے؟,2,0,twenties,male
common_voice_ur_26576739.mp3,ہی لیکن ساتھ ساتھ ہونہار بھی ہیں۔,2,0,fourties,male
common_voice_ur_26576740.mp3,جی ابھی کیئے دیتا ہو,2,0,fourties,male
common_voice_ur_26576741.mp3,یعنی یہ کر دیں گے۔,2,0,fourties,male
common_voice_ur_26576742.mp3,اور اس حوالے سے اکثر آپ نے,2,0,fourties,male
common_voice_ur_26576743.mp3,عموما اسے بیوقوف ہی سمجھا جاتا ہے۔,2,0,fourties,male
common_voice_ur_26613843.mp3,وہ سوائے شکایت کے اور کچھ نہیں کرتا,2,0,,
common_voice_ur_26613845.mp3,یہاں سے چلے جائیں ورنہ ہم اپ کو تھپڑ مار دیں گے,2,0,,
common_voice_ur_26613846.mp3,عام میل جول میں نیّر ندیم صاحب انتہائی حلیم الطبع اور منکسر المزاج ہیں,2,0,,
common_voice_ur_26613847.mp3,یہاں عروج وزوال کا قانون کیا ہے۔,2,0,,
common_voice_ur_26613848.mp3,ایک خاص اخلاقی شعور کے ساتھ زندگی گزارے,2,0,,
common_voice_ur_26613849.mp3,اور انہیں زمین کی طرف دوبارہ سے خارج کردیتے ہیں,2,0,,
common_voice_ur_26613850.mp3,زیادہ سے زیادہ دو برس کے اندر اس منصوبے کو تکمیل تک پہنچانا چاہیے۔,2,0,,
common_voice_ur_26613851.mp3,پرانی طرز کا کوئی سیاست دان ہو گا۔,2,0,,
common_voice_ur_26613852.mp3,یہی جناح صاحب کی ہے۔,2,0,,
